"[28, 3, 47, 16, 40, 39, 29, 22, 44, 42, 0, 1, 49, 8, 30, 45, 41, 43, 18, 37, 31, 34, 38, 6, 11, 25, 46, 17, 10, 48, 20, 13, 21, 33, 35, 12, 15, 4, 2, 5]","[0, 1, 2, 3, 4]"
"[40, 10, 31, 20, 15, 24, 36, 8, 47, 12, 17, 1, 26, 9, 27, 32, 29, 37, 45, 18, 25, 19, 30, 38, 43, 11, 6, 3, 22, 42, 2, 0, 28, 21, 35, 4, 16, 39, 7, 5]","[0, 1, 2, 3, 4]"
"[35, 33, 3, 4, 15, 44, 48, 22, 31, 46, 25, 23, 30, 45, 43, 6, 17, 42, 21, 29, 0, 24, 39, 1, 8, 11, 7, 12, 9, 40, 34, 32, 14, 5, 18, 16, 2, 38, 49, 27]","[0, 1, 2, 3, 4]"
"[17, 13, 11, 30, 4, 20, 45, 27, 19, 5, 49, 33, 2, 36, 0, 42, 48, 6, 34, 38, 23, 21, 16, 1, 47, 31, 29, 14, 18, 37, 8, 41, 12, 39, 24, 25, 10, 26, 3, 44]","[0, 1, 2, 3, 4]"
"[34, 30, 12, 25, 18, 28, 38, 1, 47, 2, 16, 46, 0, 36, 26, 20, 41, 24, 9, 40, 44, 37, 48, 39, 4, 6, 23, 17, 33, 15, 14, 32, 5, 3, 7, 27, 8, 19, 42, 45]","[0, 1, 2, 3, 4]"
"[8, 30, 4, 26, 36, 37, 10, 38, 9, 6, 35, 5, 46, 17, 32, 2, 12, 13, 1, 23, 28, 49, 18, 42, 20, 29, 41, 40, 11, 14, 25, 24, 3, 44, 45, 47, 15, 19, 0, 31]","[0, 1, 2, 3, 4]"
"[38, 40, 43, 27, 25, 17, 24, 42, 5, 36, 11, 16, 45, 30, 47, 14, 28, 46, 19, 41, 9, 0, 15, 29, 33, 10, 1, 20, 48, 4, 44, 18, 37, 2, 34, 12, 13, 3, 21, 35]","[0, 1, 2, 3, 4]"
"[46, 47, 39, 17, 43, 22, 25, 16, 19, 40, 26, 37, 32, 14, 30, 29, 44, 28, 1, 20, 7, 36, 23, 11, 31, 33, 18, 24, 9, 8, 0, 13, 4, 2, 49, 12, 27, 42, 3, 15]","[0, 1, 2, 3, 4]"
"[0, 32, 25, 42, 20, 26, 16, 31, 33, 14, 13, 2, 28, 44, 40, 24, 9, 45, 48, 22, 7, 49, 4, 11, 5, 34, 18, 6, 35, 3, 41, 46, 10, 21, 8, 17, 30, 43, 1, 29]","[0, 1, 2, 3, 4]"
"[15, 38, 6, 4, 33, 5, 28, 19, 37, 20, 46, 45, 25, 1, 40, 27, 22, 32, 26, 23, 11, 3, 9, 44, 21, 16, 31, 12, 43, 2, 39, 49, 36, 35, 24, 34, 0, 14, 8, 42]","[0, 1, 2, 3, 4]"
